policy,accuracy,avg_cost,utility,regret,route_acc,group,models,seed
always_llama_70b,0.8934010152284264,5.543262436548224e-05,0.8934010152284264,0.04568527918781726,0.9543147208121827,llama_deepseek,"llama_70b,deepseek_v3",214
always_deepseek_v3,0.9137055837563451,7.104868020304568e-05,0.9137055837563451,0.025380710659898477,0.04568527918781726,llama_deepseek,"llama_70b,deepseek_v3",214
oracle,0.9390862944162437,5.571023857868021e-05,0.9390862944162437,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",214
random,0.8883248730964467,6.242841624365481e-05,0.8883248730964467,0.050761421319796954,0.5126903553299492,llama_deepseek,"llama_70b,deepseek_v3",214
correctness_logistic,0.9137055837563451,6.432021319796954e-05,0.9137055837563451,0.025380710659898477,0.5329949238578681,llama_deepseek,"llama_70b,deepseek_v3",214
correctness_random_forest,0.9035532994923858,6.292644670050761e-05,0.9035532994923858,0.03553299492385787,0.4873096446700508,llama_deepseek,"llama_70b,deepseek_v3",214
correctness_extra_trees,0.9086294416243654,6.33453959390863e-05,0.9086294416243654,0.030456852791878174,0.6040609137055838,llama_deepseek,"llama_70b,deepseek_v3",214
correctness_tfidf_logistic,0.9086294416243654,6.468032487309645e-05,0.9086294416243654,0.030456852791878174,0.5126903553299492,llama_deepseek,"llama_70b,deepseek_v3",214
always_llama_70b,0.8883248730964467,5.2553807106598985e-05,0.8883248730964467,0.04568527918781726,0.9543147208121827,llama_deepseek,"llama_70b,deepseek_v3",215
always_deepseek_v3,0.8934010152284264,7.083936040609137e-05,0.8934010152284264,0.04060913705583756,0.04568527918781726,llama_deepseek,"llama_70b,deepseek_v3",215
oracle,0.934010152284264,5.301449238578681e-05,0.934010152284264,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",215
random,0.8883248730964467,6.307121319796955e-05,0.8883248730964467,0.04568527918781726,0.4720812182741117,llama_deepseek,"llama_70b,deepseek_v3",215
correctness_logistic,0.9086294416243654,5.907959390862943e-05,0.9086294416243654,0.025380710659898477,0.467005076142132,llama_deepseek,"llama_70b,deepseek_v3",215
correctness_random_forest,0.9086294416243654,5.8460609137055845e-05,0.9086294416243654,0.025380710659898477,0.49238578680203043,llama_deepseek,"llama_70b,deepseek_v3",215
correctness_extra_trees,0.9086294416243654,5.7978218274111675e-05,0.9086294416243654,0.025380710659898477,0.5076142131979695,llama_deepseek,"llama_70b,deepseek_v3",215
correctness_tfidf_logistic,0.9086294416243654,6.16601573604061e-05,0.9086294416243654,0.025380710659898477,0.40609137055837563,llama_deepseek,"llama_70b,deepseek_v3",215
always_llama_70b,0.8578680203045685,5.440295431472082e-05,0.8578680203045685,0.07106598984771574,0.9289340101522843,llama_deepseek,"llama_70b,deepseek_v3",216
always_deepseek_v3,0.868020304568528,6.926663959390862e-05,0.868020304568528,0.06091370558375635,0.07106598984771574,llama_deepseek,"llama_70b,deepseek_v3",216
oracle,0.9289340101522843,5.475683756345177e-05,0.9289340101522843,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",216
random,0.868020304568528,5.95950964467005e-05,0.868020304568528,0.06091370558375635,0.4720812182741117,llama_deepseek,"llama_70b,deepseek_v3",216
correctness_logistic,0.8934010152284264,6.230521827411168e-05,0.8934010152284264,0.03553299492385787,0.49746192893401014,llama_deepseek,"llama_70b,deepseek_v3",216
correctness_random_forest,0.868020304568528,6.42993502538071e-05,0.868020304568528,0.06091370558375635,0.27411167512690354,llama_deepseek,"llama_70b,deepseek_v3",216
correctness_extra_trees,0.8934010152284264,6.347064467005075e-05,0.8934010152284264,0.03553299492385787,0.40609137055837563,llama_deepseek,"llama_70b,deepseek_v3",216
correctness_tfidf_logistic,0.8934010152284264,6.119560913705585e-05,0.8934010152284264,0.03553299492385787,0.45685279187817257,llama_deepseek,"llama_70b,deepseek_v3",216
always_llama_70b,0.9086294416243654,5.153547208121828e-05,0.9086294416243654,0.050761421319796954,0.949238578680203,llama_deepseek,"llama_70b,deepseek_v3",217
always_deepseek_v3,0.9137055837563451,6.876153299492386e-05,0.9137055837563451,0.04568527918781726,0.050761421319796954,llama_deepseek,"llama_70b,deepseek_v3",217
oracle,0.9593908629441624,5.163555837563452e-05,0.9593908629441624,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",217
random,0.9137055837563451,6.0307451776649745e-05,0.9137055837563451,0.04568527918781726,0.4873096446700508,llama_deepseek,"llama_70b,deepseek_v3",217
correctness_logistic,0.9238578680203046,5.931282741116751e-05,0.9238578680203046,0.03553299492385787,0.4263959390862944,llama_deepseek,"llama_70b,deepseek_v3",217
correctness_random_forest,0.9187817258883249,6.17235888324873e-05,0.9187817258883249,0.04060913705583756,0.38578680203045684,llama_deepseek,"llama_70b,deepseek_v3",217
