policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
always_minimax_m3,0.5736040609137056,0.00021227939086294415,0.3613246700507614,0.6155061776649746,1000.0,0.0
always_granite_8b,0.8375634517766497,1.603908629441624e-05,0.8215243654822333,0.15530648223350255,1000.0,0.2182741116751269
always_step_flash,0.07614213197969544,0.00020856751269035534,-0.13242538071065987,1.1092562284263958,1000.0,0.0
random,0.6954314720812182,0.000109330261928934,0.5861012101522843,0.3907296375634518,1000.0,0.06598984771573604
oracle,0.9898477157360406,1.3016868020304565e-05,0.976830847715736,0.0,1000.0,1.0
logistic_router,0.817258883248731,2.5918361421319794e-05,0.7913405218274113,0.18549032588832487,1000.0,0.34517766497461927
linear_svm_router,0.7563451776649747,1.7386860913705582e-05,0.738958316751269,0.237872530964467,1000.0,0.4467005076142132
knn_router,0.6700507614213198,8.141368527918782e-06,0.6619093928934011,0.314921454822335,1000.0,0.5685279187817259
decision_tree_router,0.7715736040609137,2.384614720812183e-05,0.7477274568527917,0.22910339086294418,1000.0,0.41116751269035534
random_forest_router,0.766497461928934,1.3781431472081217e-05,0.7527160304568528,0.22411481725888324,1000.0,0.4619289340101523
extra_trees_router,0.7715736040609137,2.120551878172589e-05,0.7503680852791879,0.22646276243654823,1000.0,0.3248730964467005
tfidf_logistic_router,0.7868020304568528,1.6009780710659896e-05,0.7707922497461928,0.20603859796954313,1000.0,0.41116751269035534
